,Team,Player,Projected,Actual,Difference
0,Keegan It Real,Nikola Jokic,4263.0,4943.0,680.0
1,Keegan It Real,Keegan Murray,2487.0,2347.0,-140.0
2,Keegan It Real,Josh Giddey,2791.0,2335.0,-456.0
3,Keegan It Real,Chet Holmgren,2360.0,3244.0,884.0
4,Keegan It Real,Jamal Murray,2654.0,2474.0,-180.0
5,Keegan It Real,Mikal Bridges,3470.0,2687.0,-783.0
6,Keegan It Real,Karl-Anthony Towns,2714.0,2330.0,-384.0
7,Keegan It Real,De'Aaron Fox,2928.0,3472.0,544.0
8,Keegan It Real,Evan Mobley,2774.0,1922.0,-852.0
9,Keegan It Real,Devin Vassell,1883.0,2372.0,489.0
10,Keegan It Real,Scottie Barnes,2873.0,2733.0,-140.0
11,Keegan It Real,Victor Wembanyama,2880.0,3642.0,762.0
12,Keegan It Real,Naz Reid,1981.0,2138.0,157.0
13,Keegan It Real,Santi Aldama,1213.0,1531.0,318.0
14,Keegan It Real,Kelly Olynyk,1747.0,2064.0,317.0
15,Keegan It Real,Tre Jones,2345.0,2185.0,-160.0
16,Keegan It Real,Jalen Suggs,1542.0,2003.0,461.0
17,New Jersey Eren,Alperen Sengun,2738.0,2705.0,-33.0
18,New Jersey Eren,Fred VanVleet,2433.0,3137.0,704.0
19,New Jersey Eren,Zach LaVine,2767.0,831.0,-1936.0
20,New Jersey Eren,Darius Garland,2790.0,1910.0,-880.0
21,New Jersey Eren,Joel Embiid,3590.0,2419.0,-1171.0
22,New Jersey Eren,Jalen Brunson,3023.0,3555.0,532.0
23,New Jersey Eren,Desmond Bane,2669.0,1738.0,-931.0
24,New Jersey Eren,Giannis Antetokounmpo,3781.0,4250.0,469.0
25,New Jersey Eren,Dennis Schroder,1786.0,2336.0,550.0
26,New Jersey Eren,Cam Thomas,1400.0,2034.0,634.0
27,New Jersey Eren,Bennedict Mathurin,1837.0,1299.0,-538.0
28,New Jersey Eren,Pascal Siakam,2923.0,3126.0,203.0
29,New Jersey Eren,Tyus Jones,2851.0,2247.0,-604.0
30,New Jersey Eren,Ben Simmons,1776.0,416.0,-1360.0
31,New Jersey Eren,Jusuf Nurkic,2087.0,2503.0,416.0
32,Team Chigga,Tyrese Haliburton,3299.0,3484.0,185.0
33,Team Chigga,OG Anunoby,2162.0,1474.0,-688.0
34,Team Chigga,Mike Conley,2053.0,2314.0,261.0
35,Team Chigga,Paul George,2384.0,3021.0,637.0
36,Team Chigga,Aaron Gordon,2019.0,2224.0,205.0
37,Team Chigga,Jayson Tatum,3841.0,3476.0,-365.0
38,Team Chigga,Nikola Vucevic,3131.0,2909.0,-222.0
39,Team Chigga,Derrick White,2109.0,2707.0,598.0
40,Team Chigga,Bogdan Bogdanovic,1641.0,2432.0,791.0
41,Team Chigga,Donte DiVincenzo,1578.0,2475.0,897.0
42,Team Chigga,Rui Hachimura,1421.0,1665.0,244.0
43,Team Chigga,Trey Murphy III,1354.0,1688.0,334.0
44,Team Chigga,Brandon Clarke,1652.0,158.0,-1494.0
45,Who Invited This Kid?,LaMelo Ball,3008.0,1000.0,-2008.0
46,Who Invited This Kid?,Domantas Sabonis,3255.0,4113.0,858.0
47,Who Invited This Kid?,Franz Wagner,2520.0,2487.0,-33.0
48,Who Invited This Kid?,Andrew Wiggins,2234.0,1626.0,-608.0
49,Who Invited This Kid?,Anthony Edwards,3485.0,3364.0,-121.0
50,Who Invited This Kid?,Paolo Banchero,2879.0,3036.0,157.0
51,Who Invited This Kid?,Immanuel Quickley,1910.0,2132.0,222.0
52,Who Invited This Kid?,Amen Thompson,1835.0,1602.0,-233.0
53,Who Invited This Kid?,Collin Sexton,1926.0,2469.0,543.0
54,Who Invited This Kid?,Onyeka Okongwu,2103.0,1419.0,-684.0
55,Who Invited This Kid?,Jordan Poole,3204.0,2273.0,-931.0
56,Who Invited This Kid?,Jonathan Kuminga,1510.0,2016.0,506.0
57,Who Invited This Kid?,Jaden Ivey,2144.0,1962.0,-182.0
58,Who Invited This Kid?,Shaedon Sharpe,2121.0,831.0,-1290.0
59,Who Invited This Kid?,Jerami Grant,2054.0,1681.0,-373.0
60,Who Invited This Kid?,Keyonte George,1476.0,1581.0,105.0
61,Paulie Gee's,Ja Morant,2244.0,408.0,-1836.0
62,Paulie Gee's,Julius Randle,2979.0,1777.0,-1202.0
63,Paulie Gee's,Tyrese Maxey,2653.0,3135.0,482.0
64,Paulie Gee's,Devin Booker,3197.0,3172.0,-25.0
65,Paulie Gee's,Zion Williamson,2816.0,2830.0,14.0
66,Paulie Gee's,Jalen Green,2570.0,2533.0,-37.0
67,Paulie Gee's,Scoot Henderson,2452.0,1421.0,-1031.0
68,Paulie Gee's,RJ Barrett,1837.0,1829.0,-8.0
69,Paulie Gee's,Myles Turner,2422.0,2647.0,225.0
70,Paulie Gee's,Tyler Herro,2299.0,1448.0,-851.0
71,Paulie Gee's,Tari Eason,1970.0,575.0,-1395.0
72,Paulie Gee's,Russell Westbrook,2552.0,1740.0,-812.0
73,Paulie Gee's,Kyrie Irving,2919.0,2717.0,-202.0
74,Paulie Gee's,P.J. Washington,2148.0,1947.0,-201.0
75,For All the bullDawgs,Bradley Beal,2112.0,1879.0,-233.0
76,For All the bullDawgs,John Collins,2168.0,2060.0,-108.0
77,For All the bullDawgs,James Harden,2662.0,2981.0,319.0
78,For All the bullDawgs,Bobby Portis,2151.0,2259.0,108.0
79,For All the bullDawgs,Damian Lillard,3125.0,3069.0,-56.0
80,For All the bullDawgs,Jimmy Butler,2772.0,2334.0,-438.0
81,For All the bullDawgs,Caris LeVert,1904.0,2061.0,157.0
82,For All the bullDawgs,Max Strus,1233.0,1933.0,700.0
83,For All the bullDawgs,De'Andre Hunter,1536.0,1377.0,-159.0
84,For All the bullDawgs,DeMar DeRozan,3043.0,3279.0,236.0
85,For All the bullDawgs,Cameron Johnson,2158.0,1493.0,-665.0
86,For All the bullDawgs,Jeremy Sochan,1436.0,1904.0,468.0
87,For All the bullDawgs,Kawhi Leonard,2668.0,3124.0,456.0
88,For All the bullDawgs,Deni Avdija,1564.0,2300.0,736.0
89,Pooh Shaisty,Deandre Ayton,2145.0,1995.0,-150.0
90,Pooh Shaisty,Trae Young,3258.0,2540.0,-718.0
91,Pooh Shaisty,Kevin Durant,2926.0,3608.0,682.0
92,Pooh Shaisty,Nic Claxton,2290.0,2486.0,196.0
93,Pooh Shaisty,Shai Gilgeous-Alexander,3407.0,4261.0,854.0
94,Pooh Shaisty,Jaren Jackson Jr.,2737.0,2491.0,-246.0
95,Pooh Shaisty,Tobias Harris,2250.0,2409.0,159.0
96,Pooh Shaisty,Keldon Johnson,2360.0,1936.0,-424.0
97,Pooh Shaisty,Chris Paul,2173.0,1710.0,-463.0
98,Pooh Shaisty,Klay Thompson,2022.0,2192.0,170.0
99,Pooh Shaisty,Jordan Clarkson,2170.0,1481.0,-689.0
100,Pooh Shaisty,Jonas Valanciunas,2374.0,2329.0,-45.0
101,Pooh Shaisty,Saddiq Bey,1884.0,1561.0,-323.0
102,Pooh Shaisty,Coby White,1482.0,2669.0,1187.0
103,Pooh Shaisty,Josh Hart,1967.0,2221.0,254.0
104,Pooh Shaisty,Kevin Huerter,2270.0,1425.0,-845.0
105,Pooh Shaisty,Luguentz Dort,1503.0,1742.0,239.0
106,The Bronx Orthodox Church,Kyle Kuzma,2621.0,2569.0,-52.0
107,The Bronx Orthodox Church,D'Angelo Russell,2379.0,2772.0,393.0
108,The Bronx Orthodox Church,Anthony Davis,3012.0,4204.0,1192.0
109,The Bronx Orthodox Church,Brook Lopez,2120.0,2520.0,400.0
110,The Bronx Orthodox Church,Michael Porter Jr.,1980.0,2528.0,548.0
111,The Bronx Orthodox Church,Anfernee Simons,2197.0,1600.0,-597.0
112,The Bronx Orthodox Church,Jrue Holiday,2453.0,2206.0,-247.0
113,The Bronx Orthodox Church,Kristaps Porzingis,2781.0,2309.0,-472.0
114,The Bronx Orthodox Church,Lauri Markkanen,2976.0,2208.0,-768.0
115,The Bronx Orthodox Church,Malcolm Brogdon,2053.0,1210.0,-843.0
116,The Bronx Orthodox Church,Miles Bridges,1759.0,2560.0,801.0
117,The Bronx Orthodox Church,Malik Monk,1764.0,2110.0,346.0
118,The Bronx Orthodox Church,Cole Anthony,1805.0,1828.0,23.0
119,The Bronx Orthodox Church,Bruce Brown,1729.0,1528.0,-201.0
120,The Bronx Orthodox Church,Norman Powell,1729.0,1659.0,-70.0
121,NYC Chopp Cheese,CJ McCollum,2563.0,2538.0,-25.0
122,NYC Chopp Cheese,Dejounte Murray,3117.0,3339.0,222.0
123,NYC Chopp Cheese,Donovan Mitchell,3054.0,2682.0,-372.0
124,NYC Chopp Cheese,Cade Cunningham,2632.0,2453.0,-179.0
125,NYC Chopp Cheese,Austin Reaves,2427.0,2656.0,229.0
126,NYC Chopp Cheese,Bam Adebayo,2922.0,2887.0,-35.0
127,NYC Chopp Cheese,Jaylen Brown,2732.0,2697.0,-35.0
128,NYC Chopp Cheese,Jalen Williams,2607.0,2676.0,69.0
129,NYC Chopp Cheese,Jalen Johnson,756.0,2091.0,1335.0
130,NYC Chopp Cheese,Kelly Oubre Jr.,1984.0,1853.0,-131.0
131,NYC Chopp Cheese,Ayo Dosunmu,1537.0,1934.0,397.0
132,NYC Chopp Cheese,Isaiah Hartenstein,1401.0,2146.0,745.0
133,I Watch Basketbal,Khris Middleton,2404.0,1744.0,-660.0
134,I Watch Basketbal,Brandon Ingram,2749.0,2424.0,-325.0
135,I Watch Basketbal,Luka Doncic,3698.0,4482.0,784.0
136,I Watch Basketbal,Jarrett Allen,2420.0,2934.0,514.0
137,I Watch Basketbal,Stephen Curry,3218.0,3139.0,-79.0
138,I Watch Basketbal,Jabari Smith Jr.,2136.0,2202.0,66.0
139,I Watch Basketbal,LeBron James,3249.0,3685.0,436.0
140,I Watch Basketbal,Terry Rozier,2121.0,2269.0,148.0
141,I Watch Basketbal,Brandon Miller,1986.0,2135.0,149.0
142,I Watch Basketbal,Ausar Thompson,1652.0,1495.0,-157.0
143,I Watch Basketbal,Herbert Jones,1801.0,2080.0,279.0
144,I Watch Basketbal,Grayson Allen,1301.0,2214.0,913.0
145,I Watch Basketbal,Draymond Green,2006.0,1704.0,-302.0
146,I Watch Basketbal,Alex Caruso,1674.0,2116.0,442.0
147,I Watch Basketbal,Gary Trent Jr.,1600.0,1685.0,85.0
